,Sponsor,Control Unit,Division,Department,class_clean,2014,2015,2016
229,Bayer AG,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Industry,60000,0,0
230,Baylor College of Medicine,Colleges,CNR College of Natural Resources,CNR Office of the Dean,Not for Profit,187138,86386,0
231,Baylor College of Medicine,Colleges,College of Chemistry,Chemical and Biomolecular Engineering,Not for Profit,0,0,0
232,Baylor College of Medicine,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,0,0,0
233,Bechtel Corporation,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Industry,3000,0,0
234,Beijing Jingyu Education Development Promotion Association,Vice Chancellor - Research,Academic Research Units,IURD Institute of Urban & Regional Development,Not for Profit,0,40000,0
235,Ben Gerwick,Colleges,College of Engineering,EERC Earthquake Engineering Research Center,Industry,10000,0,0
236,Ben-Gurion University of the Negev,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,0,0,0
237,"Benchling, Inc.",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Industry,0,0,5000
238,"Benson Hill Biosystems, Inc.",Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Industry,0,72000,0
239,Berkeley Education Alliance for Research in Singapore,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,0,6021420,0
240,"Beta Squared, Inc (incl Photronics, Inc)",Colleges,College of Engineering,ERSO Engineering Research Support Organization,Industry,0,0,140000
241,Beth Israel Deaconess Medical Center,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,0,0,0
242,"Bethyl Laboratories, Inc.",L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Industry,0,0,0
243,Bezos Family Foundation,Vice Chancellor - Research,Vice Chancellor for Research ORUs,ICBS Institute for Cognitive and Brain Sciences,Not for Profit,0,99399,0
244,Bill & Melinda Gates Foundation,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,0,0,0
245,Bill & Melinda Gates Foundation,Schools,Graduate School of Education,Null,Not for Profit,0,0,0
246,Bill & Melinda Gates Foundation,Schools,Graduate School of Education,School of Education,Not for Profit,0,989331,0
247,Bill & Melinda Gates Foundation,Schools,Haas School of Business (Division),Haas Centers and Institutes,Not for Profit,0,0,200000
248,Bill & Melinda Gates Foundation,Schools,School of Public Health,"Dean's Office, Public Health",Not for Profit,0,0,2331026
249,Bill & Melinda Gates Foundation,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Not for Profit,11440,200000,459757
250,Bill & Melinda Gates Foundation,Vice Chancellor - Research,Academic Research Units,IRLE Institute for Research on Labor and Employment,Not for Profit,0,0,649923
251,Binghamton University,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Not for Profit,0,65000,139750
252,Binghamton University,Colleges,College of Engineering,MSE Materials Science & Engineering,Not for Profit,0,0,131250
253,"BioInspira, Inc.",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Industry,0,0,112335
254,"BioMarin Pharmaceuticals, Inc.",Colleges,College of Engineering,ERSO Engineering Research Support Organization,Industry,60000,0,0
255,"BioTime, Inc.",Colleges,CNR College of Natural Resources,Nutritional Science & Toxicology,Industry,0,0,99000
256,Biolitec AG,Schools,School of Public Health,"Dean's Office, Public Health",Industry,74000,0,0
257,Biomax Informatics AG,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Industry,9000,0,0
258,"Biota Biosciences, Inc.",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Industry,3000,0,0
259,Blue Shield of California Foundation,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Not for Profit,0,0,66718
260,Blue Shield of California Foundation,Vice Chancellor - Research,Academic Research Units,IRLE Institute for Research on Labor and Employment,Not for Profit,0,210000,95262
261,Booz Allen Hamilton Inc.,Colleges,College of Engineering,Civil & Environmental Engineering,Industry,23104,0,-4363
262,Booz Allen Hamilton Inc.,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Industry,48795,0,0
263,Booz Allen Hamilton Inc.,Vice Chancellor - Research,Academic Research Units,ITS Institute of Transportation Studies,Industry,0,0,284615
264,Boston Children's Hospital,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,0,0,0
265,Boston University,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,0,0,0
266,Boston University,Schools,School of Public Health,"Dean's Office, Public Health",Not for Profit,164777,19984,0
267,Boston University,Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,Not for Profit,0,0,24720
268,Boston University,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,0,0,146785
269,Brain Research Foundation,Colleges,College of Chemistry,Chemistry Department,Not for Profit,50000,0,0
270,Brain Research Foundation,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,50000,80000,0
271,Brain and Behavior Research Foundation,L&S College of Letters & Sciences,L&S Biological Sciences,IB Integrative Biology,Not for Profit,60000,0,0
272,Brain and Behavior Research Foundation,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,0,0,70000
273,Braskem,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Industry,10000,0,0
274,Breakthrough Prize Foundation,L&S College of Letters & Sciences,Division of Physical Sciences,Astronomy,Not for Profit,0,0,4470752
275,Brigham and Women's Hospital,Colleges,College of Engineering,Bioengineering,Not for Profit,73215,5052,0
276,Brigham and Women's Hospital,Schools,School of Public Health,"Dean's Office, Public Health",Not for Profit,80850,65214,70553
277,Brigham and Women's Hospital,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,0,83000,0
278,Broad Institute Inc.,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Not for Profit,0,778316,1
279,Broad Medical Research Institute,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Industry,0,0,0
280,"Brookhaven Science Associates, LLC (Brookhaven National Lab)",Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,Not for Profit,385559,845441,418320
281,Brown University,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,440220,95000,190000
282,Buck Institute for Research on Aging,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,171452,193693,336079
283,Burroughs Wellcome Fund,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Not for Profit,0,0,0
284,Burroughs Wellcome Fund,Colleges,College of Chemistry,Chemistry Department,Not for Profit,30000,0,0
285,Burroughs Wellcome Fund,Colleges,College of Engineering,Mechanical Engineering,Not for Profit,0,0,5240
286,Burroughs Wellcome Fund,L&S College of Letters & Sciences,L&S Biological Sciences,IB Integrative Biology,Not for Profit,0,0,140000
287,Burroughs Wellcome Fund,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,0,536000,1000
288,Burroughs Wellcome Fund,Schools,School of Optometry,Null,Not for Profit,0,140000,0
289,Burroughs Wellcome Fund,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,70000,140000,8000
290,C&A Foundation,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,0,0,151451
291,CHDI Foundation/High Q Foundation,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,0,102558,0
292,CPWR- The Center for Construction Research and Training,Schools,School of Public Health,"Dean's Office, Public Health",Not for Profit,135000,359808,415933
293,CPWR- The Center for Construction Research and Training,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Not for Profit,105544,0,0
294,CS Fund,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,0,0,30000
295,"Cairn Biosciences, Inc.",Colleges,College of Chemistry,Chemistry Department,Industry,0,0,63701
296,California Air Resources Board,Colleges,CNR College of Natural Resources,Energy & Resources Group,Non Federal Governmental,35000,0,30000
297,California Air Resources Board,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Non Federal Governmental,500000,0,20000
298,California Air Resources Board,Colleges,College of Engineering,Civil & Environmental Engineering,Non Federal Governmental,400000,0,60000
299,California Air Resources Board,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Non Federal Governmental,0,49996,0
300,California Air Resources Board,Schools,Haas School of Business (Division),Haas Centers and Institutes,Non Federal Governmental,0,16663,0
301,California Air Resources Board,Schools,School of Public Health,Null,Non Federal Governmental,105221,0,0
302,California Air Resources Board,Schools,School of Public Health,"Dean's Office, Public Health",Non Federal Governmental,50000,84914,0
303,California Air Resources Board,Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,Non Federal Governmental,-30729,0,700000
304,California Air Resources Board,Vice Chancellor - Research,Academic Research Units,IGS Institute of Governmental Studies,Non Federal Governmental,649264,0,0
305,California Air Resources Board,Vice Chancellor - Research,Academic Research Units,IURD Institute of Urban & Regional Development,Non Federal Governmental,0,0,0
306,California Air Resources Board,Vice Chancellor - Research,Vice Chancellor for Research ORUs,UC Energy Institute,Non Federal Governmental,0,0,0
307,California Association of Sanitation Agencies,Schools,School of Law,nan,Non Federal Governmental,0,130000,0
308,California Breast Cancer Research Program,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",University of California,833945,0,0
309,California Breast Cancer Research Program,Colleges,CNR College of Natural Resources,Nutritional Science & Toxicology,University of California,0,0,0
310,California Breast Cancer Research Program,Schools,School of Public Health,Null,University of California,0,0,0
311,California Breast Cancer Research Program,Schools,School of Public Health,"Dean's Office, Public Health",University of California,0,0,0
312,California Breast Cancer Research Program,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,University of California,0,1301367,669011
313,California Cherry Marketing Program,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,37431,35406,11685
314,California Coastal Commission,Vice Chancellor - Student Affairs,Vice Chancellor - Student Affairs Division,LHS Lawrence Hall of Science,Non Federal Governmental,0,36277,0
315,California Community Colleges,Vice Chancellor for Equity & Inclusion,Office of Equity & Inclusion,Center for Educational Partnerships,Non Federal Governmental,0,1144580,1144580
316,California Delta Stewardship Council,L&S College of Letters & Sciences,L&S Biological Sciences,IB Integrative Biology,Non Federal Governmental,0,0,0
317,California Department of Conservation,Colleges,College of Engineering,EERC Earthquake Engineering Research Center,Non Federal Governmental,0,25000,0
318,California Department of Education,Schools,Graduate School of Education,Null,Non Federal Governmental,1695115,0,0
319,California Department of Education,Schools,Graduate School of Education,Null,Non Federal Governmental,1613506,-40000,48686
320,California Department of Education,Schools,Graduate School of Education,School of Education,Non Federal Governmental,-10780,2497000,2831138
321,California Department of Education,Vice Chancellor - Research,Academic Research Units,IURD Institute of Urban & Regional Development,Non Federal Governmental,0,0,0
322,California Department of Fish and Wildlife,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Non Federal Governmental,489343,0,284798
323,California Department of Food and Agriculture,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Non Federal Governmental,341709,332818,1220780
324,California Department of Food and Agriculture,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Non Federal Governmental,0,374151,0
